Episode,Rating
"S5E52 Billy's Bucket List",8.801234567891
"S6E1 Wake Up",9.301234567891
"S6E2 Escape from the Citadel",9.401234567891
"S6E3 James II",7.501234567891
"S6E4 The Tower",8.601234567891
"S6E5 Sad Face",6.901234567891
"S6E6 Breezy",7.801234567891
"S6E7 Food Chain",8.201234567891
"S6E8 Furniture & Meat",7.501234567891
"S6E9 The Prince Who Wanted Everything",7.001234567891
"S6E10 Something Big",8.301234567891
"S6E11 Little Brother",8.201234567891
"S6E12 Ocarina",7.901234567891
"S6E13 Thanks for the Crabapples, Giuseppe!",7.901234567891
"S6E14 Princess Day",7.301234567891
"S6E15 Nemesis",7.901234567891
"S6E16 Joshua & Margaret Investigations",8.601234567891
"S6E17 Ghost Fly",7.801234567891
"S6E18 Everything's Jake",8.201234567891
"S6E19 Is That You?",9.301234567891
"S6E20 Jake the Brick",8.901234567891
"S6E21 Dentist",7.801234567891
"S6E22 The Cooler",8.101234567891
"S6E23 The Pajama War",8.301234567891
"S6E24 Evergreen",9.001234567891
"S6E25 Astral Plane",9.001234567891
"S6E26 Gold Stars",8.101234567891
"S6E27 The Visitor",8.001234567891
"S6E28 The Mountain",7.901234567891
"S6E29 Dark Purple",7.701234567891
"S6E30 The Diary",8.001234567891
"S6E31 Walnuts & Rain",8.101234567891
"S6E32 Friends Forever",7.201234567891
"S6E33 Jermaine",8.301234567891
"S6E34 Chips & Ice Cream",6.701234567891
"S6E35 Graybles 1000+",8.401234567891
"S6E36 Hoots",8.301234567891
"S6E37 Water Park Prank",5.101234567891
"S6E38 You Forgot Your Floaties",8.601234567891
"S6E39 Be Sweet",7.301234567891
"S6E40 Orgalorg",8.801234567891
"S6E41 On the Lam",7.501234567891
"S6E42 Hot Diggity Doom",8.401234567891
"S6E43 The Comet",9.101234567891
"S7E1 Bonnie & Neddy",7.901234567891
"S7E2 Varmints",8.801234567891
"S7E3 Cherry Cream Soda",7.601234567891
"S7E4 Mama Said",7.501234567891
"S7E5 Football",8.301234567891
"S7E6 Stakes Part 1: Marceline the Vampire Queen",9.101234567891
"S7E7 Stakes Part 2: Everything Stays",9.401234567891
"S7E8 Stakes Part 3: Vamps About",9.101234567891
"S7E9 Stakes Part 4: The Empress Eyes",8.901234567891
"S7E10 Stakes Part 5: May I Come In?",9.201234567891
"S7E11 Stakes Part 6: Take Her Back",9.101234567891
"S7E12 Stakes Part 7: Checkmate",9.301234567891
"S7E13 Stakes Part 8: The Dark Cloud",9.201234567891
"S7E14 The More You Moe",8.301234567891
"S7E15 The Moe You Know",8.701234567891
"S7E16 Summer Showers",7.401234567891
"S7E17 Angel Face",7.601234567891
"S7E18 President Porpoise Is Missing!",6.801234567891
"S7E19 Blank Eyed Girl",8.401234567891
"S7E20 Bad Jubies",8.101234567891
"S7E21 A King's Ransom",8.501234567891
"S7E22 Scamps",7.101234567891
"S7E23 Crossover",9.201234567891
"S7E24 The Hall of Egress",9.401234567891
"S7E25 Flute Spell",8.601234567891
"S7E26 The Thin Yellow Line",8.301234567891
"S8E1 Broke His Crown",8.901234567891
"S8E2 Don't Look",8.501234567891
"S8E3 Beyond the Grotto",7.801234567891
"S8E4 Lady Rainicorn of the Crystal Dimension",7.601234567891
"S8E5 I Am a Sword",8.301234567891
"S8E6 Bun Bun",7.901234567891
"S8E7 Normal Man",8.301234567891
"S8E8 Elemental",8.301234567891
"S8E9 Five Short Tables",7.201234567891
"S8E10 The Music Hole",8.701234567891
"S8E11 Daddy-Daughter Card Wars",7.801234567891
"S8E12 Preboot",8.101234567891
"S8E13 Reboot",8.601234567891
"S8E14 Two Swords",8.701234567891
"S8E15 Do No Harm",8.401234567891
"S8E16 Wheels",7.601234567891
"S8E17 High Strangeness",7.801234567891
"S8E18 Horse and Ball",7.601234567891
"S8E19 Jelly Beans Have Power",8.201234567891
"S8E20 Islands Part 1: The Invitation",8.701234567891
"S8E21 Islands Part 2: Whipple the Happy Dragon",8.201234567891
"S8E22 Islands Part 3: Mysterious Island",8.701234567891
"S8E23 Islands Part 4: Imaginary Resources",8.601234567891
"S8E24 Islands Part 5: Hide and Seek",9.201234567891
"S8E25 Islands Part 6: Min and Marty",9.601234567891
"S8E26 Islands Part 7: Helpers",9.301234567891
