Episode,Rating
"S8E5 Thanks-hoarding",7.801234567891
"S8E6 The Bleakening",8.301234567891
"S8E7 V for Valentine-detta",8.301234567891
"S8E8 Y Tu Ga-Ga Tambien",7.701234567891
"S8E9 The Secret Ceramics Room of Secrets",7.701234567891
"S8E10 Sleeping with the Frenemy",7.601234567891
"S8E11 The Hurt Soccer",8.101234567891
"S8E12 Cheer Up Sleepy Gene",7.701234567891
"S8E13 The Trouble with Doubles",8.001234567891
"S8E14 Go Tina on the Mountain",7.801234567891
"S8E15 Are You There Bob? It's Me, Birthday",7.801234567891
"S8E16 Boywatch",7.401234567891
"S8E17 As I Walk Through the Alley of the Shadow of Ramps",7.701234567891
"S8E18 Mo Mommy Mo Problems",7.701234567891
"S8E19 Mission Impos-Slug-Ble",7.601234567891
"S8E20 Something Old, Something New, Something Bob Caters for You",8.301234567891
"S9E1 Just One of the Boyz 4 Now for Now",7.601234567891
"S9E2 The Taking of Funtime One Two Three",8.501234567891
"S9E3 Tweentrepreneurs",7.801234567891
"S9E4 Nightmare on Ocean Avenue Street",8.201234567891
"S9E5 Live and Let Fly",7.401234567891
"S9E6 Bobby Driver",8.101234567891
"S9E7 I Bob Your Pardon",7.701234567891
"S9E8 Roller? I Hardly Know Her!",7.401234567891
"S9E9 UFO No You Didn't",7.501234567891
"S9E10 Better Off Sled",8.101234567891
"S9E11 Lorenzo's Oil? No, Linda's",7.601234567891
"S9E12 The Helen Hunt",7.901234567891
"S9E13 Bed, Bob & Beyond",7.201234567891
"S9E14 Every Which Way but Goose",7.501234567891
"S9E15 The Fresh Princ-ipal",8.101234567891
"S9E16 Roamin' Bob-iday",8.001234567891
"S9E17 What About Blob?",7.301234567891
"S9E18 If You Love It So Much, Why Don't You Marionette?",7.301234567891
"S9E19 Long Time Listener, First Time Bob",7.301234567891
"S9E20 The Gene Mile",7.701234567891
"S9E21 P.T.A It Ain't So",7.301234567891
"S9E22 Yes Without My Zeke",7.501234567891
"S10E1 The Ring (But Not Scary)",8.201234567891
"S10E2 Boys Just Wanna Have Fungus",7.601234567891
